site,resolution,mode,model,seed,n_train,n_test,MAE,RMSE,R2,epochs,batch,train_s
CO,60,nowcast,LSTM,8,126,24,3.495818853378296,4.313203173820165,0.8719300627708435,124,32,8.3
CO,60,nowcast,LSTM,9,126,24,3.2579476833343506,4.024907526885007,0.8884783387184143,113,32,7.7
CO,60,nowcast,LSTM,10,126,24,3.6549694538116455,4.577962514448038,0.8557247519493103,110,32,7.5
CO,60,nowcast,LSTM,11,126,24,12.570452690124512,14.292887080423954,-0.4063303470611572,51,32,4.4
CO,60,nowcast,LSTM,12,126,24,3.621397018432617,4.481308157528823,0.8617525696754456,165,32,10.5
CO,60,nowcast,LSTM,13,126,24,3.813054323196411,4.678158008609332,0.8493402600288391,135,32,8.8
CO,60,nowcast,LSTM,14,126,24,5.428809642791748,8.010404972883071,0.5582705736160278,115,32,7.8
CO,60,nowcast,LSTM,15,126,24,3.357385635375977,4.1516824735822695,0.881342351436615,168,32,10.6
CO,60,nowcast,LSTM,16,126,24,3.311260938644409,4.045267500172173,0.8873472213745117,155,32,9.9
CO,60,nowcast,LSTM,17,126,24,12.36457061767578,13.969396111140988,-0.3433917760848999,52,32,4.4
CO,60,nowcast,LSTM,18,126,24,3.311208724975586,4.118781517730201,0.8832155466079712,143,32,9.3
CO,60,nowcast,LSTM,19,126,24,12.394742012023926,14.004618836472588,-0.3501749038696289,50,32,4.3
CO,60,forecast,PG-ResMLP,0,517,130,3.972621440887451,5.17702078317763,0.8119297027587891,55,32,3.7
CO,60,forecast,PG-ResMLP,1,517,130,4.310153484344482,5.346506222214623,0.7994140386581421,51,32,3.4
CO,60,forecast,PG-ResMLP,2,517,130,3.876948595046997,5.12872662778099,0.8154221773147583,48,32,3.2
CO,60,forecast,PG-ResMLP,3,517,130,3.85407280921936,5.179258487017403,0.8117671012878418,48,32,3.2
CO,60,forecast,PG-ResMLP,4,517,130,3.68213963508606,4.998449085027798,0.8246802091598511,75,32,4.8
CO,60,forecast,PG-ResMLP,5,517,130,4.293539524078369,5.386343054225448,0.796413779258728,44,32,3.0
